number,id,title,question,img,Gold Standard,T5_BBOX,T5,Summary 1,Summary 2,Summary 3
0,1909,"Jews, Hindus, Muslims most likely to Jews, live experience in Hindus, countries where their groups likely experience harassment % of each religious group's population living in countries where harassment population of their group occurred in 2015",What is the distribution of harassment victims among religious groups?,dataset/images/1909.png,"For instance , because of their dense concentration in a small number of countries , 99 % of Jews and Hindus lived in nations where members of their groups were harassed . And despite being one of the most geographically dispersed religious groups , 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015 . ( By comparison , 78 % of Christians lived in places where Christians were harassed . )","Nearly nine - in - ten Hindus ( 99 % ) and Muslims ( 97 % ) lived in countries where the harassment population of their religious group occurred in 2015, according to a Pew Research Center analysis of external data.","For instance, because of their dense concentration in a small number of countries, 99 % of Jews and Hindus lived in nations where members of their groups were harassed. And despite being one of the most geographically dispersed religious groups, 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015. ( By comparison, 78 % of Christians lived in places where Christians were harassed. )",T5_BBOX,T5,Gold Standard
1,5200,Germans and Americans express diminishing confidence in U.S. government's treatment of rights The U.S. government respects the personal.freedoms of,Describe the trend in the number of Germans and Americans that thinks the U.S. respects personal freedoms.,dataset/images/5200.png,"since 2013 , there has been a steady decline in both Germany and America in the percentage of those saying the U.S. government respects the personal freedoms of its people . In that year , 81 % of Germans and 69 % of Americans said the U.S. government respected the personal freedoms of its people . But after multiple scandals involving the exposure of National Security Agency eavesdropping , confidence in American respect for civil liberties began to decline . Now , just 35 % of Germans and 51 % of Americans hold this view","Currently, 58 % of Germans say the U.S. government respects the personal freedoms of its people.","Since 2013, there has been a steady decline in both Germany and America in the percentage of those saying the U.S. government respects the personal freedoms of its people. In that year, 81 % of Germans and 69 % of Americans said the U.S. government respected the personal freedoms of its people. But after multiple scandals involving the exposure of National Security Agency eavesdropping, confidence in American respect for civil liberties began to decline. Now, just 35 % of Germans and 51 % of Americans hold this view",T5_BBOX,Gold Standard,T5
2,1134,"Nicotine, flavoring-only cartridges popular among older students who vape % ofU.S students who said they vaped the the last 30 days, 2018",Is vaping an inherent practice of College students?,dataset/images/1134.png,", vaping increased among college students from 2017 to 2018 , the most recent year for which MTF has released data for this group . In fact , the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975 .","Currently, 16 % of college students say they have vaped in the last 30 days, compared with 11 % who say they have vaped in the last 30 days.","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975.",T5_BBOX,T5,Gold Standard
3,6399,Just 49% Expect a Better Year Ahead 2015 will be better or worse than 2014? (%),Describe the overall public optimism.,dataset/images/6399.png,"The public has muted expectations for the year to come : 49 % say they think 2015 will be a better year than 2014 , while 42 % think it will be worse .","Overall, 49 % say 2015 will be better or worse than 2014, while 35 % say it will be worse.","The public remains deeply dissatisfied with the way things are going in the country. Just 26 % are satisfied with national conditions, while 71 % are dissatisfied. And it has muted expectations for the year to come : 49 % say they think 2015 will be a better year than 2014, while 42 % think it will be worse.",T5,Gold Standard,T5_BBOX
4,4461,Satisfaction with National Conditi ons,Compare the national satisfaction of different nations?,dataset/images/4461.png,"More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition , while fewer than one - in - five ( 19 % ) are dissatisfied . On this score , China far outstrips India , where only 41 % say they are content with national conditions . And in China , the level of satisfaction is more than three times higher than in Russia , where only 23 % are pleased with their country ’s direction .","In China, 72 % express satisfaction with the way things are going in their country, compared with 69 % in Jordan and 57 % in Pakistan. In Spain, 51 % express satisfaction with the way things are going in their country. In the Netherlands, 49 % express satisfaction with the way things are going in their country. In the U.S., 58 % express satisfaction with the way things are going in their country.","More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition, while fewer than one - in - five ( 19 % ) are dissatisfied. China far outstrips India, where only 41 % say they are content with national conditions. And in China, the level of satisfaction is more than three times higher than in Russia, where only 23 % are pleased with their country ’s direction.",T5,Gold Standard,T5_BBOX
5,3973,News Interest vs. News Coverage 2008 Campaign 20,What opinion do the public have the US national news coverage?,dataset/images/3973.png,"the national news media focused heavily on the 2008 presidential campaign last week . More than one - fifth of the national newshole ( 21 % ) was devoted to the presidential campaign , while news about the war drew only about half as much coverage",About one - in - five Americans ( 21 % ) say they followed news about the campaign more closely than any other story last week.,"While the national news media focused heavily on the 2008 presidential campaign last week, the public divided its interest between the campaign and the Iraq war. More than one - fifth of the national newshole ( 21 % ) was devoted to the presidential campaign, while news about the war — including the situation in Iraq, returning U.S. troops and the Iraq policy debate — drew only about half as much coverage.",Gold Standard,T5,T5_BBOX
6,2197,"Across educational groups, Republicans give colleges & universities low ratings % who say colleges and universities have a positive effect on the way things are going in the country",what are the views of partisans youth on colleges and university impact?,dataset/images/2197.png,"About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country , compared with just 27 % of those 65 and older . By contrast , there are no significant differences in views among Democrats by age , with comparable majorities of all age groups saying colleges and universities have a positive impact .","About seven - in - ten Republicans and Republican - leaning independents ( 73 % ) say colleges and universities have a positive effect on the way things are going in the country, compared with 36 % of Democrats and Democratic leaners.","Among Republicans and Republican leaners, younger adults have much more positive views of colleges and universities than older adults. About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country, compared with just 27 % of those 65 and older. By contrast, there are no significant differences in views among Democrats by age, with comparable majorities of all age groups saying colleges and universities have a positive impact.",T5_BBOX,T5,Gold Standard
7,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,About four - in - ten Americans ( 34 % ) use social media at work to take a mental break from work.,"As noted above, 17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits. Some 14 % of workers have found information on social media that has improved their professional opinion of a colleague ; at the same time, a similar share ( 16 % ) have found information on social media that has lowered their professional opinion of a colleague.",T5,Gold Standard,T5_BBOX
8,4051,"Figure 2 Employment Rate, Fourth Quarters, 2007 and 2008","What changes occurred to born Hispanics , native - born Hispanics and blacks in unemployment during 2007 and 2008?",dataset/images/4051.png,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics , native - born Hispanics and blacks in the labor market . The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008 .","Born Hispanics, native - born Hispanics and blacks saw sharp increases in unemployment during the fourth quarter of 2007 and 2008.","Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008. However, the number of unemployed persons increased at a much faster rate for foreign - born Hispanics.",T5_BBOX,T5,Gold Standard
9,2671,"Older Republicans are particularly likely to say fathers shouldn't be alle to take paternity leave % able saying fathers should paid NOT unpaid, be able to take leave, paid adoption or unpaid, following birth or paid adoption unpaid, of child Ages 18-29 30-49 50-64 65+",What are differences in partisan views among different age groups when it comes to thinking men have no responsibility for their kids?,dataset/images/2671.png,"Older Republicans offer considerably different views than their younger counterparts . Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child , compared with 20 % of Republicans ages 50 to 64 , 10 % of those 30 to 49 , and 14 % of those 18 to 29 . Age differences are relatively small among Democrats .",Republicans and Republican leaners are more likely than Democrats and Democratic leaners to say fathers should not be able to take paternity leave following the birth or adoption of a child ( 14 % vs. 10 % ). Republicans and Republican leaners are more likely than Democrats and Democratic leaners to say fathers should not be able to take paternity leave following the birth or adoption of a child ( 11 % vs. 10 % ).,"Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child, compared with 20 % of Republicans ages 50 to 64, 10 % of those 30 to 49, and 14 % of those 18 to 29. Age differences are relatively small among Democrats.",Gold Standard,T5_BBOX,T5
