number,id,title,question,img,Gold Standard,VLT5_S,VLT5,Summary 1,Summary 2,Summary 3
0,1874,"Merkel gets higher ratings globally than Xi, Putin or Trump Confidence in to do the rightthing regarding world affairs",What opinion do the publics have about worldwide national leaders during the Trump government?,dataset/images/1874.png,"Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews . Across the 37 nations polled , a median of 42 % express confidence in her , while 31 % say they lack confidence . Ratings for Chinese President Xi Jinping and Russian President Vladimir Putin are mostly negative , and class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of them . class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of","Trump gets more negative ratings globally than Merkel, Xi or Putin. German Chancellor Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews. Across the 37 nations polled, a median of 42 % express confidence in her, while 31 % say they lack confidence.","Globally, a median of 42 % voice confidence in Merkel to do the right thing when it comes to Trump.",Gold Standard,VLT5,VLT5_S
1,623,a large minority majority of tweets come from a small large minority majority of tweeters Share ofall tweets from U.S. adult users created by,What is the distribution of the adult twitter users in the US?,dataset/images/623.png,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users. The share of all tweets from U.S. adult users also created by bottom 90% tweeters.,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,"In the U.S., adult Twitter users are responsible for 80 % of all tweets created by U.S. adults.",Gold Standard,VLT5_S,VLT5
2,6132,"Since May, Republicans Have Become More Supportive of Path to Legal Status % saying there should be a way for undocumented immigrants to say in the U.S., ifrequirements are met",Compare partisans views about providing legal status to undocumented immigrants.,dataset/images/6132.png,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally .,Republicans ( 66 % ) continue to be less likely than independents ( 74 % ) or Democrats ( 80 % ) to support a path to legal status for those in the U.S. illegally.,"Currently, 56 % of Republicans say there should be a way for undocumented immigrants to say there is a way for undocumented immigrants to say in the U.S., if certain requirements are met ; far fewer ( 56 % ) of Democrats say this",Gold Standard,VLT5,VLT5_S
3,3165,US young people have higher unemployment,What is the range of unemployment among teenagers or young adults ?,dataset/images/3165.png,more than half ( 50.9 % ) of the nation ’s nearly 8 million unemployed people are between the ages of 16 and 34 – even though that group makes up just over a third of the civilian labor force .,more than half ( 50.9 % ) of the nation ’s unemployed people are between the ages of 16 and 34.,"Overall, among those ages 16 to 19, 15.6 % unemployment rate, compared with 5.4 % among 20 to 24 - year - olds.",VLT5,VLT5_S,Gold Standard
4,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"Jason Collins became the first active male professional athlete in a major North American team sport to come out publicly as gay. ( The LGBT survey was conducted before Collins ’ announcement. ) It ’s worth noting, though, that almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.","Gay, lesbian or bisexual men made up a third of respondents. When asked about a LGBT artist or public figure, about one - in - three ( 32 % ) name someone who is Gay or Lesbian.",Gold Standard,VLT5,VLT5_S
5,2763,Recent activity flags have both false positives and false negatives,What are opinions about the activity flags among cell phone numbers ?,dataset/images/2763.png,"Half of the interviews in that study were conducted on cellphones and half on landlines . 15 % of flagged - inactive cellphone numbers were found to be working and residential ( false negatives ) , and one - in - ten flagged - active numbers were found to be non - working or non - residential ( false positives ) . With the Targus flag , both error rates were higher .","15 % of flagged - inactive cellphone numbers were found to be working and residential ( false negatives ), and one - in - ten flagged - active numbers were found to be non - working or non - residential ( false positives ).",Two - thirds of cellphone numbers based on dialing have either been false positive ( 15 % ) or active ( 11 % ) flags. Another 23 % have been false negatives.,VLT5,Gold Standard,VLT5_S
6,5652,Netanyahu viewed extremely poorly Views of Israeli Prime Minister Benjamin.Netanyahu,What is the opinion of Lebanese and Jordanians about Israeli Prime Minister Benjamin Netanyahu ?,dataset/images/5652.png,"Israeli Prime Minister Benjamin Netanyahu receives extremely negative ratings from nations in the Middle East and North Africa . Only 7 % in both Tunisia and Turkey , 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu . And the negative opinion in Jordan and Lebanon is particularly intense ; 95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view",95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view.,Both Lebanese and Jordanians had extremely negative views of the Israeli prime minister. Nearly nine - in - ten ( 91 % ) Jordanians had an unfavorable opinion of Netanyahu.,VLT5,VLT5_S,Gold Standard
7,6950,News the Public is Hearing About IAA lot,How much the defunct satellite crash news spread among public and describe about it?,dataset/images/6950.png,About three - in - ten Americans ( 31 % ) say they heard a lot last week about the defunct satellite that scientists expected to crash into the earth this past weekend . Another 40 % say they heard a little about this . Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite .,"About three - in - ten Americans ( 31 % ) say they heard a lot about the defunct satellite that scientists expected to crash into the earth this past weekend. Another 40 % say they heard a little about this. Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite, which broke up and crashed into the South Pacific.","About a third ( 31 % ) say they heard at least a little last week about the crash. More than four - in - ten ( 40 % ) say they heard a lot about satellite crash news, while 27 % say they heard a little.",VLT5_S,VLT5,Gold Standard
8,2904,One-in-five Americans have heard of the debate over the legality of home-sharing services and both users and nonusers strongly support the legality of these services; they also feel (if less strongly) that homeowners using these services should not have to pay taxes in order to use them,Discuss what home-sharing users have heard about its legality?,dataset/images/2904.png,"Home - sharing services has been the subject of much debate in cities around the country . Just 19 % of home - sharing users have heard “ a lot ” about it , while 37 % have heard “ a little . ”","Even users of home - sharing services themselves are not following this issue particularly closely : Just 19 % of home - sharing users have heard “ a lot ” about it, while 37 % have heard “ a little. ”","just 6 % of home - sharing users have heard about the debate over the legality of these services, though more say that homeowners should be able to legally rent out their homes using services like Airbnb, VRBO or HomeAway. Around a third of home - sharing users ( 37 % ) say they have heard a lot about these services, while 37 % say they feel a little or no about them.",VLT5_S,Gold Standard,VLT5
9,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .","Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs. Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.","Russian and American opinions of the U.S. president have generally remained low for many years. In 2018, 41 % of Russians said they had confidence in Bush to do the right thing regarding world affairs, while 33 % of Russians had faith in Trump.",VLT5,Gold Standard,VLT5_S
