number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3,Summary 1,Summary 2,Summary 3
0,1909,5,4,5,5,5,4,5,5,4,T5_BBOX,T5,Gold Standard
1,5200,1,2,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
2,1134,5,4,5,1,5,5,2,5,5,T5_BBOX,T5,Gold Standard
3,6399,3,5,5,5,5,5,4,5,5,T5,Gold Standard,T5_BBOX
4,4461,5,5,5,5,5,5,4,5,5,T5,Gold Standard,T5_BBOX
5,3973,5,4,5,5,5,5,5,5,5,Gold Standard,T5,T5_BBOX
6,2197,4,5,5,5,4,5,5,5,5,T5_BBOX,T5,Gold Standard
7,4262,4,5,4,5,3,5,5,3,5,T5,Gold Standard,T5_BBOX
8,4051,1,5,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
9,2671,5,5,5,3,5,4,5,5,5,Gold Standard,T5_BBOX,T5
10,5930,3,4,5,4,5,5,4,5,5,Gold Standard,T5,T5_BBOX
11,1532,5,3,5,4,5,5,4,5,5,T5_BBOX,T5,Gold Standard
12,4903,1,5,5,5,5,5,1,5,5,T5,Gold Standard,T5_BBOX
13,5865,3,3,5,1,5,5,5,5,5,Gold Standard,T5_BBOX,T5
14,1320,3,3,3,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
15,1233,5,4,5,5,5,5,3,5,5,T5,Gold Standard,T5_BBOX
16,2186,3,4,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
17,7540,4,4,5,5,5,5,3,5,5,Gold Standard,T5,T5_BBOX
18,5302,5,4,5,5,4,5,3,5,5,Gold Standard,T5,T5_BBOX
19,6838,5,5,5,3,4,5,4,5,5,T5,Gold Standard,T5_BBOX
20,6933,1,4,4,4,5,4,5,5,5,T5_BBOX,T5,Gold Standard
21,6729,3,5,5,1,4,5,5,5,5,T5,T5_BBOX,Gold Standard
22,280,5,5,5,5,5,5,4,4,4,Gold Standard,T5,T5_BBOX
23,3510,5,5,5,4,5,5,5,5,5,T5,T5_BBOX,Gold Standard
24,941,5,5,5,3,4,5,5,5,5,T5,T5_BBOX,Gold Standard
