file_no,question,type,subtype
1130,What are the women's thoughts on the government?,retrieval,thoughts
945,Describe the proportion of Americans who think economic relations between the US and China are bad?,distribution,proportion
1594,Describe the problems about religious violence that Bangladesh is experiencing.,retrieval,problems
163,What is the opinion of people regarding national institutions in their country?,retrieval,opinions
1660,What are the current thoughts on direct democracy?,retrieval,thoughts
1690,What is the distribution of Republicans and Democrafts' different feeling about politics ?,distribution,distribution
336,What is the opinion of the Blacks and White people towards police treatment of various ethnic and racial groups ?,retrieval,opinions
59,Describe the trend in the main motivation of voters who voted for Mitt Romney.,correlation,trends
1118,Describe the most common forms of harassment that young people encounter online?,retrieval,types
2179,Describe the Muslim population in the U.S.?,distribution,distribution
1077,What were expectations of Democrats that Trump would not set a high moral standard for the presidency?,retrieval,expectations
1514,Does people agree with Donald Trump on issues facing the country?,retrieval,agree
2119,What are the less commonly played games among adults who play video games often or sometimes?,retrieval,types
449,Describe the trend of multiracial Americans towards people of different origins?,correlation,trends
855,What opinion do majorities have about right to allow Americans to have medical data permanently deleted in?,retrieval,opinions
1951,What opinion do men and women have about who have access to a fully loaded gun that is accessible to them all the time?,retrieval,opinions
1941,What opinion do U.S. adults have about municipal broadband networks should not be allowed?,retrieval,opinions
2243,write about views across middle East of president Bashar?,retrieval,views
1532,What perceptions do partisans have on foreign trade?,retrieval,perceptions
1847,What is the situation of Americans losing a job as a result of workforce automation?,retrieval,situations
1850,What is the world's view on the worldwide economic leader country?,retrieval,views
437,How do Americans' see the coronavirus statistics?,retrieval,views
1694,What do Americans think about  doctors will use computer programs to diagnose and treat most diseases in the next 20 years?,retrieval,thoughts
1587,Describe the share of children living with married parents.,retrieval,share
1314,What benefits are in the use of mobile phones?,retrieval,benefits
1397,Describe how U.S. adult get news from?,distribution,sources
786,What opinion do Democrats and Republicans think about the ordinary people across the country and the coronavirus outbreak?,retrieval,opinions
873,What is the difference of view of Taiwanese about mainland China?,correlation,differences
739,How is the voting situation of Asian immigrants in California ?,retrieval,situations
819,What is the opinion of Americans about America's economic role in the world?,retrieval,opinions
1243,Describe the election in voting centre?,retrieval,situations
1457,Could math be considered a step for the STEM field?,retrieval,views
1006,Describe the confidence in Democrats in Congress about an impeachment,retrieval,views
