number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
0,2904,One-in-five Americans have heard of the debate over the legality of home-sharing services and both users and nonusers strongly support the legality of these services; they also feel (if less strongly) that homeowners using these services should not have to pay taxes in order to use them,Discuss what home-sharing users have heard about its legality?,dataset/images/2904.png,"home - sharing services has been the subject of much debate in cities around the country . Just 19 % of home - sharing users have heard “ a lot ” about it , while 37 % have heard “ a little . ”","One - in - five home - sharing users say they have heard of the debate over the legality of home -sharing services, compared with just 6 % of those who have heard about the debate.","22 % of Americans have heard something about this issue, with just 6 % indicating that they have heard “ a lot ” about it.",T5,BART
1,1502,About one-in-ten Americans would be angry or scared if they saw a drone near home % of U.S. adults who say they would feel ifthey saw a drone flying close to where they live,What is the general perception about drones?,dataset/images/1502.png,"Asked how they would feel if they saw a drone flying close to where they live , relatively large shares of Americans say they would be curious ( 58 % ) or interested ( 45 % ) . At the same time , around one - in - four ( 26 % ) say they would be nervous , and around one - in - ten say this would make them feel angry ( 12 % ) or scared ( 11 % )","Asked how they would feel if they saw a drone flying close to where they live, relatively large shares of Americans say they would be curious ( 58 % ) or interested ( 45 % ).","Asked how they would feel if they saw a drone flying close to where they live, relatively large shares of Americans say they would be curious ( 58 % ) or interested ( 45 % ).",T5,BART
2,908,About four-in-ten post-9/11 veterans say the government hasn't given them enough help,How do nowadays veterans see the government?,dataset/images/908.png,64 % of veterans say the government has given them about as much help as it should have Three - in - ten say the government has given them too little help . Post-9/11 veterans are more likely than those from previous eras to say the government has given them less help than it should have ( 43 % vs. 27 % ),"More broadly, 64 % of veterans say the government has given them about as much help as it should have.","More broadly, 64 % of veterans say the government has given them about as much help as it should have.",Gold Standard,BART
3,6489,"Despite Clear Benefits, 54% of Smartphone Owners Say Their Phone is 'Not Always Needed' --but 46% Say it is Something They 'Couldn't Live Without' % of smartphone owners theyfeel who say that the following itemsfrom each pair best describe how theyfeel about their phone",How do Americans perceive the importance of the smartphone in their lives?,dataset/images/6489.png,"smartphone owners are relatively divided on the essential necessity of mobile connectivity : 54 % say that their phone is “ not always needed , ” while 46 % say that it is something they “ could n’t live without . ”","At the same time, smartphone owners are relatively divided on the essential necessity of mobile connectivity : 54 % say that their phone is “ not always needed, ” while 46 % say.","At the same time, smartphone owners are relatively divided on the essential necessity of mobile connectivity : 54 % say that their phone is “ not always needed, ” while 46 % say. it is something they “ could n’t live without",Gold Standard,BART
4,742,Many Americans believe customer reviews and ratings improve consumer experiences % ofU.S. adults who say customer reviews and ratings help,How is the trend among Americans about the beneficial effect of ratings and ratings?,dataset/images/742.png,"Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ) , product safety ( 80 % ) and company accountability ( 78 % ) .","Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).","Americans have confidence that reviews and ratings can be beneficial : Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).",Gold Standard,T5
5,7531,Midte rm Election Poll Accuracy (Gallup & Pew election weekend LV estimates),Compare the election pre/post poll with the actual outcome?,dataset/images/7531.png,"The Gallup Organization has tracked voter preferences in House races for more than half a century , and its final midterm election polls have consistently paralleled actual election results Indeed , on average , the final Gallup Poll has been within 1.1 % of the actual vote in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years , foreshadowing that year ’s GOP takeover of the House",the final Gallup Poll has been within 1.1 % of the actual vote.,the final Gallup Poll has been within 1.1 % of the actual vote.,Gold Standard,BART
6,7699,Does China Consider Interests of Countries Like Yours?,What do different countries think about China?,dataset/images/7699.png,"This view is prevalent in the U.S. and among EU nations — more than seven - in - ten in France , Spain and Britain , and somewhat smaller majorities in Poland , the U.S. and Germany , think China generally ignores their interests . Majorities in the Middle East also agree with this perspective",Majorities in 14 of 23 countries say that China does not take into account the interests of countries like theirs when making foreign policy decisions.,"Among the publics included in this survey, there is a widely held view that China acts unilaterally in international affairs. Majorities in 14 of 23 countries say that China does not take into account the interests of countries like theirs when making foreign policy decisions.",Gold Standard,T5
7,4089,News Interest vs. News Coverage Health care reform 36 Swine flu 14,What is the difference of media coverage of the health care reform debate and any other news?,dataset/images/4089.png,"The debate over health care reform got more media coverage than any other story , taking up 17 % of the newshole analyzed by the Pew Research Center ’s Project for Excellence in Journalism . That was down from 32 % of coverage the previous week when Obama delivered his address to Congress . The president also continued to be the top newsmaker as measured by PEJ","The debate over health care reform got more media coverage than any other story, taking up 17 % of the newshole analyzed by the Pew Research Center ’s Project for Excellence in Journalism. That was down from 32 % of coverage the previous week when Obama delivered his address to Congress.","36 % say it was the story they followed most closely last week, more than double the percentage for any other major story.",BART,Gold Standard
8,6678,Three-in-Four See Occasional Terrorism as Part of Life in Future (Agree/Disagree) be oflife Occasionalacts the of terrorism in the (Agree/Disagree) U.S. will be part oflife Occasionalacts in the future of,Describe the Americans' perception about terrorism.,dataset/images/6678.png,75 % of Americans agreed with the statement “ occasional acts of terrorism in the U.S. will be part of life in the future . ”,"75 % of Americans agreed with the statement “ occasional acts of terrorism in the U.S. will be part of life in the future. ” While majorities consistently have held that view over the past decade, the post - Boston number was a significant increase from 64 % who held this view in 2012, and matched the previous high of 74 % in 2003","75 % of Americans agreed with the statement “ occasional acts of terrorism in the U.S. will be part of life in the future. ” While majorities consistently have held that view over the past decade, the post - Boston number was a significant increase from 64 % who held this view in 2012, and matched the previous high of 74 % in 2003.",T5,BART
9,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .",YouTube has emerged as a key platform for both younger and older kids. Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,BART,T5
10,7488,Figure 1: Position of blacks has Figure improved in re cent years,What is the opinion of blacks and whites about the condition of blacks in society?,dataset/images/7488.png,"77 % of whites , but only 56 % of blacks agreed that the position of blacks in American society has improved in recent years . And while 63 % of whites feel that blacks who ca n’t get ahead are mostly responsible for their own condition , only 43 % of blacks agree , a gap that has stayed virtually constant over the last decade .","In Pew ’s 2005 Political Typology, 77 % of whites, but only 56 % of blacks agreed that the position of blacks in American society has improved in recent years.","In Pew ’s 2005 Political Typology, 77 % of whites, but only 56 % of blacks agreed that the position of blacks in American society has improved in recent years.",BART,Gold Standard
11,6036,Favorability Toward Congress Little Changed % who have view of Congress,Describe the change in favorability towards Congress.,dataset/images/6036.png,Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably .,"Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion","Views of Congress continue to hover near record lows : Just 25 % of Americans view Congress favorably, while 69 % say they have an unfavorable opinion",Gold Standard,T5
