number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3
50,1134,4,4,4,5,3,5,4,4,5
51,1956,5,5,5,4,4,5,5,4,5
52,1956,4,4,5,5,5,5,5,4,5
53,4419,5,5,5,5,5,5,5,5,5
54,3463,4,5,4,5,4,4,5,4,5
55,4423,5,3,5,4,5,5,5,3,5
56,2532,5,2,5,5,4,5,5,2,5
57,6980,5,3,5,5,3,5,5,3,5
58,6435,4,4,5,3,2,5,3,3,5
59,6273,5,4,5,5,4,5,5,5,5
60,5302,3,3,5,3,3,5,3,3,5
61,7531,4,4,5,2,3,5,2,3,5
62,5610,4,4,5,5,4,5,5,4,5
63,770,5,4,5,5,3,5,5,5,5
64,6000,5,5,5,5,5,4,5,3,5
65,2309,5,4,5,4,5,5,5,4,5
66,756,5,5,5,5,4,5,5,3,5
67,2798,5,4,5,5,5,5,3,4,5
68,6703,4,2,5,3,2,5,5,4,5
69,5302,5,5,5,5,2,5,5,5,5
70,5068,5,3,5,5,5,5,5,5,5
71,94,5,5,5,1,2,5,5,5,5
72,3821,5,5,5,4,5,5,2,1,5
73,6557,1,4,5,5,4,5,2,2,5
74,6000,1,3,5,4,4,5,5,3,5
75,6177,5,5,5,5,5,5,5,5,5
76,2282,2,4,5,5,5,5,5,4,5
77,3928,5,5,5,1,1,5,5,5,5
78,1874,2,3,2,5,5,5,5,3,5
79,3336,5,5,5,5,4,5,5,4,5
80,6313,5,5,5,5,4,5,5,5,5
81,281,5,5,5,5,5,5,2,4,5
82,7545,1,3,5,5,5,5,5,5,5
83,3463,5,5,5,5,5,5,2,4,5
84,2532,3,2,5,5,4,5,3,2,5
85,5311,5,5,5,5,5,5,1,2,5
86,705,5,5,5,5,5,4,2,2,5
87,6313,5,4,5,5,5,5,5,5,5
88,6933,5,5,5,1,3,5,5,4,5
89,2309,2,3,5,5,4,5,3,4,4
90,7540,3,3,5,4,3,5,2,2,5
91,2186,5,4,5,4,2,5,3,1,5
92,2008,3,2,5,3,4,5,2,3,5
93,797,1,3,5,5,5,5,5,5,5
94,7531,4,4,5,4,4,5,4,4,4
95,4262,5,4,5,3,4,5,5,4,5
96,3148,2,2,5,2,4,5,3,3,5
97,7674,2,2,5,5,4,5,2,3,5
98,968,5,4,5,2,4,5,3,3,5
99,0,5,4,5,2,3,5,5,4,5
