number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3
0,1909,5,5,4,4,5,5,4,5,5
1,5200,3,5,5,4,5,5,4,5,5
2,1134,4,5,5,3,5,4,3,5,5
3,6399,4,5,5,5,5,5,4,5,5
4,4461,5,5,5,5,5,5,4,5,5
5,3973,4,5,5,4,5,5,5,5,5
6,2197,2,5,5,5,5,5,5,5,5
7,4262,3,4,4,5,5,5,5,5,5
8,4051,2,5,5,4,5,5,4,5,5
9,2671,5,5,5,3,5,4,5,5,5
10,5930,3,3,5,4,5,5,4,5,5
11,1532,5,4,5,3,5,5,3,5,5
12,4903,4,5,5,5,5,5,4,5,5
13,5865,4,5,5,3,4,4,5,5,5
14,1320,3,4,5,5,5,5,5,5,5
15,1233,5,5,5,5,5,5,3,5,5
16,2186,3,3,5,5,5,5,5,3,5
17,7540,4,5,5,5,5,5,4,4,5
18,5302,5,5,5,5,5,5,3,5,5
19,6838,5,5,5,5,5,5,4,5,5
20,6933,2,5,5,5,5,4,5,5,5
21,6729,3,5,4,3,5,5,5,5,5
22,280,5,5,5,5,5,5,4,5,4
23,3510,5,5,5,4,5,5,5,5,5
24,941,5,5,5,3,5,5,5,5,5
25,5393,5,5,5,5,5,5,5,5,5
26,3821,4,5,4,5,5,5,5,5,5
27,2186,5,5,5,3,5,5,5,5,4
28,848,5,5,4,5,5,5,4,5,5
29,280,5,5,5,3,5,5,5,5,5
30,1092,4,5,5,5,5,5,5,5,5
31,5311,2,5,5,5,5,5,5,5,5
32,3404,4,5,5,5,5,5,5,5,5
33,4384,5,5,5,5,5,5,5,5,5
34,2431,5,5,5,4,5,5,5,5,5
35,2679,5,5,5,5,5,5,5,4,5
36,6313,5,5,5,5,5,5,5,5,5
37,7286,5,5,5,5,5,5,4,5,5
38,6729,3,5,5,5,5,5,3,5,5
39,1233,3,5,5,5,3,5,5,5,5
40,1938,5,5,5,5,5,5,5,5,5
41,6557,3,4,4,4,5,5,5,5,5
42,4903,4,5,5,3,5,4,5,5,5
43,281,5,5,5,5,5,5,5,5,5
44,3361,3,5,5,5,5,5,5,5,5
45,7480,5,5,5,4,5,5,5,5,5
46,3463,4,5,4,3,5,3,5,5,5
47,3404,5,5,5,4,5,5,4,5,5
48,2904,5,5,5,5,5,5,4,5,5
49,7236,4,5,5,3,5,5,4,5,5
