number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3
100,6399,5,5,5,3,5,2,2,3,5
101,1938,5,5,5,5,2,5,5,5,4
102,5382,4,4,5,5,5,5,3,3,3
103,7674,3,4,5,4,5,5,2,2,4
104,5200,1,3,5,5,5,5,5,5,4
105,1967,4,5,5,5,3,2,5,5,5
106,614,3,4,5,5,5,5,5,5,5
107,7236,5,5,5,5,5,5,2,1,5
108,6102,5,3,5,5,5,5,5,4,5
109,6435,5,5,5,5,4,4,2,3,4
110,941,3,4,4,5,5,5,5,5,4
111,1799,5,5,3,5,1,5,4,2,5
112,4423,5,5,5,4,5,5,5,3,5
113,1684,5,5,4,5,3,5,5,5,5
114,6999,5,5,5,1,3,5,5,5,4
115,2197,1,3,5,5,5,5,5,5,4
116,4461,3,5,5,5,5,5,5,5,5
117,4423,4,5,5,5,5,5,4,3,5
118,4484,5,5,5,4,5,5,5,5,5
119,3781,2,2,1,5,5,4,5,5,3
120,3547,4,2,3,4,2,5,4,2,5
121,5795,5,3,5,4,3,5,3,2,2
122,5393,5,5,4,5,5,4,5,5,5
123,1645,3,4,4,3,3,4,1,3,4
124,1605,5,5,5,3,5,5,5,5,4
125,5118,5,5,5,1,3,5,5,5,5
126,3748,5,5,5,1,1,2,5,5,5
127,0,1,4,5,2,3,3,2,3,3
128,7336,5,5,4,5,5,4,1,2,3
129,2671,5,4,5,1,1,1,5,4,5
130,5118,5,5,5,1,3,4,5,5,4
131,3393,5,5,5,1,2,1,4,5,4
132,5696,5,5,4,5,5,4,1,2,5
133,3096,1,3,4,5,5,5,5,5,4
134,1006,1,2,2,3,5,5,4,4,4
135,705,3,5,5,5,5,5,5,4,2
136,6435,3,5,4,5,5,4,5,5,5
137,941,3,3,3,5,5,5,5,5,5
138,7445,5,5,5,5,5,5,1,1,5
139,1908,1,5,5,1,5,5,1,5,5
140,5394,5,4,5,5,4,5,5,3,3
141,6011,5,5,5,1,2,4,4,5,5
142,4051,5,3,5,5,5,5,5,5,5
143,1847,5,5,5,5,5,4,5,1,5
144,6959,5,5,5,5,5,5,4,2,5
145,1645,1,3,5,1,3,5,1,4,5
146,1092,5,3,3,5,5,5,4,5,5
147,2820,5,5,5,5,5,5,2,3,5
148,5930,4,5,5,1,4,4,4,3,5
149,5311,5,5,5,5,1,5,5,5,5
