number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3
0,1909,5,4,5,5,5,4,5,5,4
1,5200,1,2,5,5,5,5,5,5,5
2,1134,5,4,4,1,1,5,1,1,3
3,6399,3,4,5,5,5,5,4,5,5
4,4461,5,5,5,5,5,4,3,5,5
5,3973,5,4,4,5,5,5,5,5,5
6,2197,4,5,5,5,3,5,5,3,5
7,4262,4,5,4,5,3,5,5,3,5
8,4051,4,3,5,5,5,5,5,5,5
9,2671,5,5,5,3,4,3,5,5,5
10,5930,5,5,5,4,5,5,3,5,5
11,1532,5,3,5,4,5,5,4,5,5
12,4903,1,3,5,5,5,5,2,3,5
13,5865,3,3,5,1,5,5,5,5,5
14,1320,3,3,3,5,5,5,4,3,3
15,1233,3,5,5,5,5,5,3,5,5
16,2186,3,4,5,5,5,5,5,5,5
17,7540,4,4,5,5,5,5,3,5,5
18,5302,5,4,5,5,4,5,3,5,5
19,6838,5,5,5,3,3,4,3,3,4
20,6933,1,4,4,4,5,3,5,5,5
21,6729,5,3,5,1,4,5,5,5,4
22,280,5,5,5,5,5,5,5,4,4
23,3510,5,5,5,4,5,4,5,5,5
24,941,5,5,5,3,4,5,5,5,5
25,5393,5,5,4,3,5,5,5,3,5
26,3821,2,2,5,5,2,5,5,3,5
27,2186,5,5,5,2,3,5,5,5,4
28,848,5,4,4,5,4,3,5,3,5
29,280,5,5,5,5,4,4,5,5,5
30,1092,4,5,5,5,5,5,5,4,5
31,5311,3,5,5,5,5,5,5,5,5
32,3404,4,3,5,5,3,5,5,5,5
33,4384,5,4,5,5,5,4,5,5,5
34,2431,5,5,5,4,3,4,5,5,5
35,2679,5,5,4,5,5,4,2,4,5
36,6313,5,5,5,5,5,5,5,5,5
37,7286,4,4,5,5,4,5,5,5,5
38,6729,5,3,5,5,5,5,1,4,5
39,1233,1,3,5,5,3,5,5,5,5
40,1938,5,4,5,5,5,5,5,5,5
41,6557,5,4,5,3,5,5,1,1,1
42,4903,4,5,5,3,3,5,5,5,5
43,281,5,5,5,5,5,5,4,4,5
44,3361,2,4,4,5,5,5,5,5,4
45,7480,5,5,5,1,4,5,5,5,5
46,3463,5,5,3,2,4,3,5,5,5
47,3404,5,5,5,5,3,5,5,3,5
48,2904,5,4,4,5,5,5,2,4,3
49,7236,5,5,5,2,4,5,5,5,5
50,1134,3,3,4,5,5,5,3,3,5
51,1956,5,5,5,5,3,5,1,3,5
52,1956,5,3,5,5,5,5,1,3,5
53,4419,2,5,5,5,5,5,5,5,5
54,3463,5,5,4,5,4,3,2,4,2
55,4423,5,5,5,5,4,5,4,3,5
56,2532,5,5,5,5,5,5,5,5,5
57,6980,5,5,5,3,5,5,5,5,5
58,6435,5,5,5,3,5,5,5,5,5
59,6273,5,4,5,5,5,5,3,3,3
60,5302,5,5,5,3,5,5,5,5,5
61,7531,3,5,5,5,5,5,5,5,4
62,5610,5,4,4,5,5,5,1,5,5
63,770,5,1,5,5,4,5,5,5,5
64,6000,5,5,5,5,4,3,5,2,5
65,2309,2,3,5,4,4,5,4,5,5
66,756,5,5,4,5,5,5,5,3,5
67,2798,1,1,5,4,4,5,1,1,5
68,6703,5,5,5,5,4,4,1,4,2
69,5302,5,5,5,3,5,5,5,5,5
70,5068,1,4,5,5,5,5,5,5,5
71,94,5,5,5,1,4,5,5,5,5
72,3821,5,3,5,5,4,5,1,3,1
73,6557,1,1,1,5,5,5,4,3,3
74,6000,1,4,3,5,5,5,5,3,5
75,6177,3,4,5,5,5,5,2,5,5
76,2282,3,5,5,5,5,5,5,5,5
77,3928,5,5,5,1,3,4,5,5,5
78,1874,5,4,2,5,5,5,4,4,4
79,3336,5,5,5,5,5,5,5,5,5
80,6313,5,5,5,5,5,5,5,5,5
81,281,5,5,5,5,3,5,5,5,5
82,7545,1,4,4,5,5,5,5,5,5
83,3463,5,5,3,5,5,5,2,4,1
84,2532,5,5,5,5,5,4,5,5,5
85,5311,5,5,5,5,5,5,2,5,5
86,705,5,5,5,5,5,4,5,4,5
87,6313,5,4,5,5,5,5,5,5,5
88,6933,5,5,5,3,5,5,5,5,5
89,2309,5,4,5,2,3,5,5,5,5
90,7540,5,5,5,5,4,5,5,3,3
91,2186,5,5,5,3,5,2,5,1,5
92,2008,5,5,5,1,4,3,5,3,5
93,797,1,3,5,5,5,5,5,4,5
94,7531,5,5,5,2,4,5,5,5,5
95,4262,5,3,5,2,4,3,5,3,5
96,3148,3,3,2,2,4,5,5,5,5
97,7674,5,5,4,3,4,4,5,5,5
98,968,5,5,5,5,4,5,3,4,4
99,0,5,5,5,1,4,5,5,5,3
